date,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-15,16.24,16.61,16.76,16.07,88838,146395596.0,4.25,2.34,0.38,3.3
2023-02-16,16.5,16.74,17.59,16.45,137227,232426367.0,6.86,0.78,0.13,5.09
2023-02-17,16.77,15.66,16.77,15.66,108406,173621907.0,6.63,-6.45,-1.08,4.02
2023-02-20,16.53,17.23,17.23,16.53,50739,86774137.0,4.47,10.03,1.57,1.88
2023-02-21,18.92,17.4,18.95,17.33,338982,608807139.0,9.4,0.99,0.17,12.58
2023-02-22,16.99,17.62,17.79,16.99,214946,375490608.0,4.6,1.26,0.22,7.97
2023-02-23,17.44,16.6,17.49,16.53,173759,293521275.0,5.45,-5.79,-1.02,6.45
2023-02-24,16.93,18.26,18.26,16.81,166307,301039426.0,8.73,10.0,1.66,6.17
2023-02-27,19.35,17.89,19.88,17.8,354619,663495354.0,11.39,-2.03,-0.37,13.16
2023-02-28,17.7,17.88,18.44,17.68,233590,421231229.0,4.25,-0.06,-0.01,8.67
2023-03-01,18.11,19.67,19.67,18.11,234488,456049971.0,8.72,10.01,1.79,8.7
2023-03-02,20.26,20.08,21.04,19.8,554720,1128297438.0,6.3,2.08,0.41,20.58
2023-03-03,19.4,19.08,19.61,18.7,345713,662193565.0,4.53,-4.98,-1.0,12.83
2023-03-06,18.9,18.74,19.12,18.52,181380,340564192.0,3.14,-1.78,-0.34,6.73
2023-03-07,18.95,18.01,19.15,17.91,183342,336194051.0,6.62,-3.9,-0.73,6.8
2023-03-08,17.9,18.3,18.31,17.66,123999,224794656.0,3.61,1.61,0.29,4.6
2023-03-09,18.2,17.95,18.2,17.51,123940,221003535.0,3.77,-1.91,-0.35,4.6
2023-03-10,17.69,18.67,19.23,17.61,232878,431680862.0,9.03,4.01,0.72,8.64
2023-03-13,18.56,18.96,19.0,18.07,197745,368292971.0,4.98,1.55,0.29,7.34
2023-03-14,18.9,18.38,18.9,18.14,134942,248942420.0,4.01,-3.06,-0.58,5.01
2023-03-15,18.65,17.9,18.74,17.8,120577,218943943.0,5.11,-2.61,-0.48,4.47
2023-03-16,17.7,17.45,17.9,17.1,101905,178275152.0,4.47,-2.51,-0.45,3.78
2023-03-17,17.58,18.22,18.47,17.57,134978,243602694.0,5.16,4.41,0.77,5.01
2023-03-20,18.22,17.92,18.38,17.68,102131,183741801.0,3.84,-1.65,-0.3,3.79
2023-03-21,17.93,18.26,18.32,17.6,89682,162022755.0,4.02,1.9,0.34,3.33
2023-03-22,18.4,19.0,19.06,18.32,171373,321438059.0,4.05,4.05,0.74,6.36
2023-03-23,18.7,18.81,18.99,18.65,121491,228031823.0,1.79,-1.0,-0.19,4.51
2023-03-24,18.8,19.28,19.38,18.44,178323,337807882.0,5.0,2.5,0.47,6.62
